Sno,Accession ID,Description
212,NZ_JAAQSX010000003.1,"Klebsiella pneumoniae strain BA17989 3, whole genome shotgun sequence."
,,
213,NZ_JAAQSX010000002.1,"Klebsiella pneumoniae strain BA17989 2, whole genome shotgun sequence."
,,
214,NZ_JAAQSX010000001.1,"Klebsiella pneumoniae strain BA17989 1, whole genome shotgun sequence."
,,
215,NZ_JAAQSB010000008.1,"Klebsiella pneumoniae strain BA39576 8, whole genome shotgun sequence."
,,
216,NZ_JAAQSB010000007.1,"Klebsiella pneumoniae strain BA39576 7, whole genome shotgun sequence."
,,
217,NZ_JAAQSB010000006.1,"Klebsiella pneumoniae strain BA39576 6, whole genome shotgun sequence."
,,
218,NZ_JAAQSB010000005.1,"Klebsiella pneumoniae strain BA39576 5, whole genome shotgun sequence."
,,
219,NZ_JAAQSB010000004.1,"Klebsiella pneumoniae strain BA39576 4, whole genome shotgun sequence."
,,
220,NZ_JAAQSB010000003.1,"Klebsiella pneumoniae strain BA39576 3, whole genome shotgun sequence."
,,
221,NZ_JAAQSB010000002.1,"Klebsiella pneumoniae strain BA39576 2, whole genome shotgun sequence."
,,
222,NZ_JAAQSB010000001.1,"Klebsiella pneumoniae strain BA39576 1, whole genome shotgun sequence."
,,
223,NZ_JAAQSE010000004.1,"Klebsiella pneumoniae strain BA37082 4, whole genome shotgun sequence."
,,
224,NZ_JAAQSE010000003.1,"Klebsiella pneumoniae strain BA37082 3, whole genome shotgun sequence."
,,
225,NZ_JAAQSE010000002.1,"Klebsiella pneumoniae strain BA37082 2, whole genome shotgun sequence."
,,
226,NZ_JAAQSE010000001.1,"Klebsiella pneumoniae strain BA37082 1, whole genome shotgun sequence."
,,
227,NZ_JAAQTD010000006.1,"Klebsiella pneumoniae strain BA25665 6, whole genome shotgun sequence."
,,
228,NZ_JAAQTD010000005.1,"Klebsiella pneumoniae strain BA25665 5, whole genome shotgun sequence."
,,
229,NZ_JAAQTD010000004.1,"Klebsiella pneumoniae strain BA25665 4, whole genome shotgun sequence."
,,
230,NZ_JAAQTD010000003.1,"Klebsiella pneumoniae strain BA25665 3, whole genome shotgun sequence."
,,
231,NZ_JAAQTD010000002.1,"Klebsiella pneumoniae strain BA25665 2, whole genome shotgun sequence."
,,
232,NZ_JAAQTD010000001.1,"Klebsiella pneumoniae strain BA25665 1, whole genome shotgun sequence."
,,
233,NZ_JACWHM010000005.1,"Klebsiella pneumoniae strain BA9984 5, whole genome shotgun sequence."
,,
234,NZ_JACWHM010000004.1,"Klebsiella pneumoniae strain BA9984 4, whole genome shotgun sequence."
,,
235,NZ_JACWHM010000003.1,"Klebsiella pneumoniae strain BA9984 3, whole genome shotgun sequence."
,,
236,NZ_JACWHM010000002.1,"Klebsiella pneumoniae strain BA9984 2, whole genome shotgun sequence."
,,
237,NZ_JACWHM010000001.1,"Klebsiella pneumoniae strain BA9984 1, whole genome shotgun sequence."
,,
238,NZ_JACWMV010000006.1,"Klebsiella pneumoniae strain BA27458 6, whole genome shotgun sequence."
,,
239,NZ_JACWMV010000005.1,"Klebsiella pneumoniae strain BA27458 5, whole genome shotgun sequence."
,,
240,NZ_JACWMV010000004.1,"Klebsiella pneumoniae strain BA27458 4, whole genome shotgun sequence."
,,
241,NZ_JACWMV010000003.1,"Klebsiella pneumoniae strain BA27458 3, whole genome shotgun sequence."
,,
242,NZ_JACWMV010000002.1,"Klebsiella pneumoniae strain BA27458 2, whole genome shotgun sequence."
,,
243,NZ_JACWMV010000001.1,"Klebsiella pneumoniae strain BA27458 1, whole genome shotgun sequence."
,,
244,NZ_JACWMU010000004.1,"Klebsiella pneumoniae strain FF2295 4, whole genome shotgun sequence."
,,
245,NZ_JACWMU010000003.1,"Klebsiella pneumoniae strain FF2295 3, whole genome shotgun sequence."
,,
246,NZ_JACWMU010000002.1,"Klebsiella pneumoniae strain FF2295 2, whole genome shotgun sequence."
,,
247,NZ_JADDTT010000005.1,"Klebsiella pneumoniae strain B6753 5, whole genome shotgun sequence."
,,
248,NZ_JADDTT010000004.1,"Klebsiella pneumoniae strain B6753 4, whole genome shotgun sequence."
,,
249,NZ_JADDTT010000003.1,"Klebsiella pneumoniae strain B6753 3, whole genome shotgun sequence."
,,
250,NZ_JADDTT010000002.1,"Klebsiella pneumoniae strain B6753 2, whole genome shotgun sequence."
,,
251,NZ_JADDTT010000001.1,"Klebsiella pneumoniae strain B6753 1, whole genome shotgun sequence."
,,
252,NZ_JACWMQ010000008.1,"Klebsiella pneumoniae strain BA4072 8, whole genome shotgun sequence."
,,
253,NZ_JACWMQ010000007.1,"Klebsiella pneumoniae strain BA4072 7, whole genome shotgun sequence."
,,
254,NZ_JACWMQ010000006.1,"Klebsiella pneumoniae strain BA4072 6, whole genome shotgun sequence."
,,
255,NZ_JACWMQ010000005.1,"Klebsiella pneumoniae strain BA4072 5, whole genome shotgun sequence."
,,
256,NZ_JACWMQ010000004.1,"Klebsiella pneumoniae strain BA4072 4, whole genome shotgun sequence."
,,
257,NZ_JACWMQ010000003.1,"Klebsiella pneumoniae strain BA4072 3, whole genome shotgun sequence."
,,
258,NZ_JACWMQ010000002.1,"Klebsiella pneumoniae strain BA4072 2, whole genome shotgun sequence."
,,
259,NZ_JACWMQ010000001.1,"Klebsiella pneumoniae strain BA4072 1, whole genome shotgun sequence."
,,
260,NZ_JACWMP010000007.1,"Klebsiella pneumoniae strain BA31746 7, whole genome shotgun sequence."
,,
261,NZ_JACWMP010000006.1,"Klebsiella pneumoniae strain BA31746 6, whole genome shotgun sequence."
,,
262,NZ_JACWMP010000005.1,"Klebsiella pneumoniae strain BA31746 5, whole genome shotgun sequence."
,,
263,NZ_JACWMP010000004.1,"Klebsiella pneumoniae strain BA31746 4, whole genome shotgun sequence."
,,
264,NZ_JACWMP010000003.1,"Klebsiella pneumoniae strain BA31746 3, whole genome shotgun sequence."
,,
265,NZ_JACWMP010000002.1,"Klebsiella pneumoniae strain BA31746 2, whole genome shotgun sequence."
,,
266,NZ_JACWMP010000001.1,"Klebsiella pneumoniae strain BA31746 1, whole genome shotgun sequence."
,,
267,NZ_JACWMR010000007.1,"Klebsiella pneumoniae strain BA23183 7, whole genome shotgun sequence."
,,
268,NZ_JACWMR010000006.1,"Klebsiella pneumoniae strain BA23183 6, whole genome shotgun sequence."
,,
269,NZ_JACWMR010000005.1,"Klebsiella pneumoniae strain BA23183 5, whole genome shotgun sequence."
,,
270,NZ_JACWMR010000004.1,"Klebsiella pneumoniae strain BA23183 4, whole genome shotgun sequence."
,,
271,NZ_JACWMR010000003.1,"Klebsiella pneumoniae strain BA23183 3, whole genome shotgun sequence."
,,
272,NZ_JACWMR010000002.1,"Klebsiella pneumoniae strain BA23183 2, whole genome shotgun sequence."
,,
273,NZ_JACWMR010000001.1,"Klebsiella pneumoniae strain BA23183 1, whole genome shotgun sequence."
,,
274,NZ_JACWMO010000006.1,"Klebsiella pneumoniae strain BA24831 6, whole genome shotgun sequence."
,,
275,NZ_JACWMO010000005.1,"Klebsiella pneumoniae strain BA24831 5, whole genome shotgun sequence."
,,
276,NZ_JACWMO010000004.1,"Klebsiella pneumoniae strain BA24831 4, whole genome shotgun sequence."
,,
277,NZ_JACWMO010000003.1,"Klebsiella pneumoniae strain BA24831 3, whole genome shotgun sequence."
,,
278,NZ_JACWMO010000002.1,"Klebsiella pneumoniae strain BA24831 2, whole genome shotgun sequence."
,,
279,NZ_JACWMO010000001.1,"Klebsiella pneumoniae strain BA24831 1, whole genome shotgun sequence."
,,
280,NZ_PUIG01000001.1,"Klebsiella pneumoniae strain BP737 NODE_1_length_465730_cov_106.692_ID_1, whole genome shotgun sequence."
,,
281,NZ_PPXS01000001.1,"Klebsiella pneumoniae strain BA29256 NODE_1_length_555686_cov_70.6792_ID_1, whole genome shotgun sequence."
,,
282,NZ_NXFM01000005.1,"Klebsiella pneumoniae strain C17 NODE_5_length_300261_cov_29.7789_ID_9, whole genome shotgun sequence."
,,
283,NZ_NXFM01000004.1,"Klebsiella pneumoniae strain C17 NODE_4_length_319087_cov_33.7388_ID_7, whole genome shotgun sequence."
,,
284,NZ_NXFM01000003.1,"Klebsiella pneumoniae strain C17 NODE_3_length_337773_cov_47.7032_ID_5, whole genome shotgun sequence."
,,
285,NZ_NXFM01000002.1,"Klebsiella pneumoniae strain C17 NODE_2_length_355013_cov_41.1638_ID_3, whole genome shotgun sequence."
,,
286,NZ_NXFM01000001.1,"Klebsiella pneumoniae strain C17 NODE_1_length_388294_cov_36.3526_ID_1, whole genome shotgun sequence."
,,
287,NZ_NXDR01000004.1,"Klebsiella pneumoniae strain C5 NODE_4_length_300210_cov_51.0139_ID_7, whole genome shotgun sequence."
,,
288,NZ_NXDR01000003.1,"Klebsiella pneumoniae strain C5 NODE_3_length_333110_cov_47.3241_ID_5, whole genome shotgun sequence."
,,
289,NZ_NXDR01000002.1,"Klebsiella pneumoniae strain C5 NODE_2_length_337771_cov_71.9659_ID_3, whole genome shotgun sequence."
,,
290,NZ_NXDR01000001.1,"Klebsiella pneumoniae strain C5 NODE_1_length_526511_cov_57.1642_ID_1, whole genome shotgun sequence."
,,
291,NZ_NXFN01000004.1,"Klebsiella pneumoniae strain C18 NODE_4_length_300215_cov_31.3508_ID_7, whole genome shotgun sequence."
,,
292,NZ_NXFN01000003.1,"Klebsiella pneumoniae strain C18 NODE_3_length_309081_cov_30.7111_ID_5, whole genome shotgun sequence."
,,
293,NZ_NXFN01000002.1,"Klebsiella pneumoniae strain C18 NODE_2_length_337766_cov_46.2946_ID_3, whole genome shotgun sequence."
,,
294,NZ_NXFN01000001.1,"Klebsiella pneumoniae strain C18 NODE_1_length_526660_cov_35.8133_ID_1, whole genome shotgun sequence."
,,
295,NZ_NXFL01000001.1,"Klebsiella pneumoniae strain C16 NODE_1_length_328886_cov_28.1509_ID_1, whole genome shotgun sequence."
,,
296,NZ_NXFO01000001.1,"Klebsiella pneumoniae strain C22 NODE_1_length_337767_cov_34.5408_ID_1, whole genome shotgun sequence."
,,
297,NZ_NWUP01000004.1,"Klebsiella pneumoniae strain C1 NODE_4_length_300183_cov_55.5975_ID_7, whole genome shotgun sequence."
,,
298,NZ_NWUP01000003.1,"Klebsiella pneumoniae strain C1 NODE_3_length_337772_cov_88.8787_ID_5, whole genome shotgun sequence."
,,
299,NZ_NWUP01000002.1,"Klebsiella pneumoniae strain C1 NODE_2_length_362641_cov_61.7161_ID_3, whole genome shotgun sequence."
,,
300,NZ_NWUP01000001.1,"Klebsiella pneumoniae strain C1 NODE_1_length_388289_cov_66.8655_ID_1, whole genome shotgun sequence."
,,
301,NZ_NRIS01000004.1,"Enterobacter cloacae strain EspIMS6 NODE_4_length_305921_cov_97.7792_ID_7, whole genome shotgun sequence."
,,
302,NZ_NRIS01000003.1,"Enterobacter cloacae strain EspIMS6 NODE_3_length_312472_cov_71.2439_ID_5, whole genome shotgun sequence."
,,
303,NZ_NRIS01000002.1,"Enterobacter cloacae strain EspIMS6 NODE_2_length_335289_cov_104.182_ID_3, whole genome shotgun sequence."
,,
304,NZ_NRIS01000001.1,"Enterobacter cloacae strain EspIMS6 NODE_1_length_340399_cov_126.162_ID_1, whole genome shotgun sequence."
,,
305,NZ_JAFFRF010000001.1,"Klebsiella pneumoniae strain SBS6 NODE_1_length_304000_cov_84.636020, whole genome shotgun sequence."
,,
306,NZ_JAFFRJ010000002.1,"Klebsiella pneumoniae strain SBS1 NODE_2_length_386878_cov_68.658037, whole genome shotgun sequence."
,,
307,NZ_JAFFRJ010000001.1,"Klebsiella pneumoniae strain SBS1 NODE_1_length_410019_cov_67.185558, whole genome shotgun sequence."
,,
308,NZ_JAFFQZ010000002.1,"Klebsiella pneumoniae strain SBS12 NODE_2_length_378852_cov_190.979620, whole genome shotgun sequence."
,,
309,NZ_JAFFQZ010000001.1,"Klebsiella pneumoniae strain SBS12 NODE_1_length_431013_cov_167.028232, whole genome shotgun sequence."
,,
310,NZ_JAFFRI010000002.1,"Klebsiella pneumoniae strain SBS3 NODE_2_length_340458_cov_68.219795, whole genome shotgun sequence."
,,
311,NZ_JAFFRI010000001.1,"Klebsiella pneumoniae strain SBS3 NODE_1_length_626009_cov_69.986652, whole genome shotgun sequence."
,,
312,NZ_JAFFRG010000001.1,"Klebsiella pneumoniae strain SBS5 NODE_1_length_349449_cov_256.932910, whole genome shotgun sequence."
,,
313,NZ_QCZC01000003.1,"Klebsiella pneumoniae strain EN5269 NODE_3_length_351384_cov_11.4493_pilon, whole genome shotgun sequence."
,,
314,NZ_QCZC01000002.1,"Klebsiella pneumoniae strain EN5269 NODE_2_length_356455_cov_14.5444_pilon, whole genome shotgun sequence."
,,
315,NZ_QCZC01000001.1,"Klebsiella pneumoniae strain EN5269 NODE_1_length_453461_cov_13.4545_pilon, whole genome shotgun sequence."
,,
316,NZ_QCZB01000004.1,"Klebsiella pneumoniae strain EN5261 NODE_4_length_341683_cov_16.3455_pilon, whole genome shotgun sequence."
,,
317,NZ_QCZB01000003.1,"Klebsiella pneumoniae strain EN5261 NODE_3_length_431683_cov_15.3898_pilon, whole genome shotgun sequence."
,,
318,NZ_QCZB01000002.1,"Klebsiella pneumoniae strain EN5261 NODE_2_length_453685_cov_15.0924_pilon, whole genome shotgun sequence."
,,
319,NZ_PYWD01000005.1,"Klebsiella pneumoniae strain EN5226 NODE_5_length_351707_cov_21.0486_pilon, whole genome shotgun sequence."
,,
320,NZ_PYWD01000004.1,"Klebsiella pneumoniae strain EN5226 NODE_4_length_386989_cov_27.7464_pilon, whole genome shotgun sequence."
,,
321,NZ_PYWD01000003.1,"Klebsiella pneumoniae strain EN5226 NODE_3_length_431683_cov_26.2739_pilon, whole genome shotgun sequence."
,,
322,NZ_PYWD01000002.1,"Klebsiella pneumoniae strain EN5226 NODE_2_length_576023_cov_26.9317_pilon, whole genome shotgun sequence."
,,
323,NZ_PYWD01000001.1,"Klebsiella pneumoniae strain EN5226 NODE_1_length_709639_cov_25.4095_pilon, whole genome shotgun sequence."
,,
324,NZ_PYWE01000005.1,"Klebsiella pneumoniae strain EN5271 NODE_5_length_363042_cov_21.5621_pilon, whole genome shotgun sequence."
,,
325,NZ_PYWE01000004.1,"Klebsiella pneumoniae strain EN5271 NODE_4_length_400212_cov_17.3251_pilon, whole genome shotgun sequence."
,,
326,NZ_PYWE01000003.1,"Klebsiella pneumoniae strain EN5271 NODE_3_length_413317_cov_17.8005_pilon, whole genome shotgun sequence."
,,
327,NZ_PYWE01000002.1,"Klebsiella pneumoniae strain EN5271 NODE_2_length_431683_cov_20.0817_pilon, whole genome shotgun sequence."
,,
328,NZ_QGHI01000008.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_8, whole genome shotgun sequence."
,,
329,NZ_QGHI01000007.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_7, whole genome shotgun sequence."
,,
330,NZ_QGHI01000006.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_6, whole genome shotgun sequence."
,,
331,NZ_QGHI01000005.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_5, whole genome shotgun sequence."
,,
332,NZ_QGHI01000004.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_4, whole genome shotgun sequence."
,,
333,NZ_QGHI01000003.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_3, whole genome shotgun sequence."
,,
334,NZ_QGHI01000002.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_2, whole genome shotgun sequence."
,,
335,NZ_QGHI01000001.1,"Klebsiella pneumoniae strain HPCN5 Scaffold_1, whole genome shotgun sequence."
,,
336,NZ_VSLB01000007.1,"Klebsiella pneumoniae strain EN5153 NODE_7_length_301627_cov_19.3703_pilon_SHARMI-696, whole genome shotgun sequence."
,,
337,NZ_VSLB01000006.1,"Klebsiella pneumoniae strain EN5153 NODE_6_length_311859_cov_17.5833_pilon_SHARMI-696, whole genome shotgun sequence."
,,
338,NZ_VSLB01000005.1,"Klebsiella pneumoniae strain EN5153 NODE_5_length_349688_cov_18.982_pilon_SHARMI-696, whole genome shotgun sequence."
,,
339,NZ_VSLB01000004.1,"Klebsiella pneumoniae strain EN5153 NODE_4_length_368625_cov_16.1785_pilon_SHARMI-696, whole genome shotgun sequence."
,,
340,NZ_VSLB01000003.1,"Klebsiella pneumoniae strain EN5153 NODE_3_length_372725_cov_19.5744_pilon_SHARMI-696, whole genome shotgun sequence."
,,
341,NZ_VSLB01000002.1,"Klebsiella pneumoniae strain EN5153 NODE_2_length_416084_cov_17.6587_pilon_SHARMI-696, whole genome shotgun sequence."
,,
342,NZ_VSLB01000001.1,"Klebsiella pneumoniae strain EN5153 NODE_1_length_776085_cov_18.0734_pilon_SHARMI-696, whole genome shotgun sequence."
,,
343,NZ_WMCH01000181.1,"Klebsiella pneumoniae strain EN5218 NODE_93_length_475005_cov_104.568138, whole genome shotgun sequence."
,,
344,NZ_WMCH01000180.1,"Klebsiella pneumoniae strain EN5218 NODE_260_length_366704_cov_106.232872, whole genome shotgun sequence."
,,
345,NZ_WMCH01000179.1,"Klebsiella pneumoniae strain EN5218 NODE_333_length_364348_cov_107.839783, whole genome shotgun sequence."
,,
346,NZ_WMCH01000178.1,"Klebsiella pneumoniae strain EN5218 NODE_38_length_359257_cov_106.377838, whole genome shotgun sequence."
,,
347,NZ_WMCH01000177.1,"Klebsiella pneumoniae strain EN5218 NODE_39_length_357081_cov_102.568260, whole genome shotgun sequence."
,,
348,NZ_VSJI01000002.1,"Klebsiella pneumoniae strain EN5339 NODE_2_len_443967_cov_15.118_pilon_SHARMI-1096, whole genome shotgun sequence."
,,
349,NZ_VSJI01000001.1,"Klebsiella pneumoniae strain EN5339 NODE_1_len_466650_cov_14.8015_pilon_SHARMI-1096, whole genome shotgun sequence."
,,
350,NZ_VSLC01000003.1,"Klebsiella pneumoniae strain EN5199 NODE_3_length_350526_cov_17.4146_pilon_SHARMI-811, whole genome shotgun sequence."
,,
351,NZ_VSLC01000002.1,"Klebsiella pneumoniae strain EN5199 NODE_2_length_444809_cov_18.3414_pilon_SHARMI-811, whole genome shotgun sequence."
,,
352,NZ_JAENDH010000004.1,"Klebsiella pneumoniae strain H62 scaffold00004, whole genome shotgun sequence."
,,
353,NZ_JAENDH010000003.1,"Klebsiella pneumoniae strain H62 scaffold00003, whole genome shotgun sequence."
,,
354,NZ_JAENDH010000002.1,"Klebsiella pneumoniae strain H62 scaffold00002, whole genome shotgun sequence."
,,
355,NZ_JAENDH010000001.1,"Klebsiella pneumoniae strain H62 scaffold00001, whole genome shotgun sequence."
,,
356,NZ_JAENDG010000001.1,"Klebsiella pneumoniae strain H53 scaffold00001, whole genome shotgun sequence."
,,
357,NZ_JADWZT010000002.1,"Klebsiella pneumoniae strain NKP30 NODE_2_length_372635_cov_81.4164_ID_3, whole genome shotgun sequence."
,,
358,NZ_JADWZT010000001.1,"Klebsiella pneumoniae strain NKP30 NODE_1_length_451877_cov_113.025_ID_1, whole genome shotgun sequence."
,,
359,NZ_JADWPG010000006.1,"Klebsiella pneumoniae strain IR27 Klebsiella_pneumoniae_IR27_Contig_6, whole genome shotgun sequence."
,,
360,NZ_JADWPG010000005.1,"Klebsiella pneumoniae strain IR27 Klebsiella_pneumoniae_IR27_Contig_5, whole genome shotgun sequence."
,,
361,NZ_JADWPG010000004.1,"Klebsiella pneumoniae strain IR27 Klebsiella_pneumoniae_IR27_Contig_4, whole genome shotgun sequence."
,,
362,NZ_JADWPG010000003.1,"Klebsiella pneumoniae strain IR27 Klebsiella_pneumoniae_IR27_Contig_3, whole genome shotgun sequence."
,,
363,NZ_QNQQ01000007.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_7, whole genome shotgun sequence."
,,
364,NZ_QNQQ01000006.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_6, whole genome shotgun sequence."
,,
365,NZ_QNQQ01000005.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_5, whole genome shotgun sequence."
,,
366,NZ_QNQQ01000004.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_4, whole genome shotgun sequence."
,,
367,NZ_QNQQ01000003.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_3, whole genome shotgun sequence."
,,
368,NZ_QNQQ01000001.1,"Klebsiella pneumoniae strain HPCN22 Scaffold_1, whole genome shotgun sequence."
,,
369,NZ_JACORD010000010.1,"Klebsiella pneumoniae strain PVN-1 Scaffold_10, whole genome shotgun sequence."
,,
370,NZ_JACORD010000009.1,"Klebsiella pneumoniae strain PVN-1 Scaffold_9, whole genome shotgun sequence."
,,
371,NZ_JACORD010000005.1,"Klebsiella pneumoniae strain PVN-1 Scaffold_5, whole genome shotgun sequence."
,,
372,NZ_JACORD010000003.1,"Klebsiella pneumoniae strain PVN-1 Scaffold_3, whole genome shotgun sequence."
,,
373,NZ_JACORD010000002.1,"Klebsiella pneumoniae strain PVN-1 Scaffold_2, whole genome shotgun sequence."
,,
374,NZ_REFT01000004.1,"Klebsiella pneumoniae strain KP26 (2018) NODE_4_length_324979_cov_10.4786, whole genome shotgun sequence."
,,
375,NZ_REFT01000003.1,"Klebsiella pneumoniae strain KP26 (2018) NODE_3_length_337424_cov_7.90191, whole genome shotgun sequence."
,,
376,NZ_REFT01000002.1,"Klebsiella pneumoniae strain KP26 (2018) NODE_2_length_479778_cov_9.78647, whole genome shotgun sequence."
,,
377,NZ_REFT01000001.1,"Klebsiella pneumoniae strain KP26 (2018) NODE_1_length_697498_cov_8.90071, whole genome shotgun sequence."
,,
378,NZ_QGNV01000006.1,"Klebsiella pneumoniae strain HPCN17 Scaffold_6, whole genome shotgun sequence."
,,
379,NZ_QGNV01000005.1,"Klebsiella pneumoniae strain HPCN17 Scaffold_5, whole genome shotgun sequence."
,,
380,NZ_QGNV01000004.1,"Klebsiella pneumoniae strain HPCN17 Scaffold_4, whole genome shotgun sequence."
,,
381,NZ_QGNV01000003.1,"Klebsiella pneumoniae strain HPCN17 Scaffold_3, whole genome shotgun sequence."
,,
382,NZ_QGNV01000002.1,"Klebsiella pneumoniae strain HPCN17 Scaffold_2, whole genome shotgun sequence."
,,
383,NZ_LZGC01000050.1,"Klebsiella pneumoniae strain KPF39 scaffold9xsize359404, whole genome shotgun sequence."
,,
384,NZ_LZGC01000045.1,"Klebsiella pneumoniae strain KPF39 scaffold5xsize691279-2, whole genome shotgun sequence."
,,
385,NZ_LZGC01000044.1,"Klebsiella pneumoniae strain KPF39 scaffold5xsize691279-1, whole genome shotgun sequence."
,,
386,NZ_LZGC01000042.1,"Klebsiella pneumoniae strain KPF39 scaffold4xsize380100, whole genome shotgun sequence."
,,
387,NZ_LZGC01000035.1,"Klebsiella pneumoniae strain KPF39 scaffold3xsize384834, whole genome shotgun sequence."
,,
388,NZ_LZGC01000023.1,"Klebsiella pneumoniae strain KPF39 scaffold2xsize417802, whole genome shotgun sequence."
,,
389,NZ_LZGC01000012.1,"Klebsiella pneumoniae strain KPF39 scaffold1xsize743121, whole genome shotgun sequence."
,,
390,NZ_WSLL01000004.1,"Klebsiella pneumoniae strain KBG6.2, whole genome shotgun sequence."
,,
391,NZ_WSLL01000003.1,"Klebsiella pneumoniae strain KBG6.2, whole genome shotgun sequence."
,,
392,NZ_WSLL01000002.1,"Klebsiella pneumoniae strain KBG6.2, whole genome shotgun sequence."
,,
393,NZ_MOXK01000098.1,"Klebsiella pneumoniae strain AWD5 Contig_(4191431-4512353), whole genome shotgun sequence."
,,
394,SGIY01000001.1,"Klebsiella pneumoniae strain 35DN NODE_1_length_315984_cov_27.9822_ID_1, whole genome shotgun sequence."
,,
395,SGIZ01000001.1,"Klebsiella pneumoniae strain 242CHI NODE_1_length_496607_cov_30.8187_ID_1, whole genome shotgun sequence."
,,
396,SGIZ01000002.1,"Klebsiella pneumoniae strain 242CHI NODE_2_length_458072_cov_30.9182_ID_3, whole genome shotgun sequence."
,,
397,SEHS01000001.1,"Klebsiella pneumoniae strain 76CHI NODE_1_length_380259_cov_46.1198_ID_1, whole genome shotgun sequence."
,,
